2107	171.64.122.141	p2107_lambda_5way_melt_4_10011	1258	78	114	404	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2107	densign	0
2108	171.64.122.141	p2108_dk_villin_ddsa_aybabtu_run0	596	84	125	449	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2108	densign	0
2109	171.64.122.141	p2109_ww_domain_mutant_1_opls	604	71	105	376	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2109	densign	0
2110	171.64.122.141	p2110_ww_domain_mutant_2_opls	580	71	105	376	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2110	densign	0
2111	171.64.122.141	p2111_ww_domain_mutant_3_opls	572	71	105	376	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2111	densign	0
2112	171.64.122.141	p2112_ww_domain_mutant_4_opls	572	71	105	376	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2112	densign	0
2113	171.64.122.141	p2113_ww_domain_mutant_5_opls	591	71	105	376	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2113	densign	0
2114	171.64.122.141	p2114_ww_domain_mutant_1_am96	604	77	114	412	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2114	densign	0
2115	171.64.122.141	p2115_ww_domain_mutant_2_am96	580	77	114	412	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2115	densign	0
2116	171.64.122.141	p2116_ww_domain_mutant_3_am96	572	77	114	412	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2116	densign	0
2117	171.64.122.141	p2117_ww_domain_mutant_4_am96	572	77	114	412	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2117	densign	0
2118	171.64.122.141	p2118_ww_domain_mutant_5_am96	591	77	114	412	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2118	densign	0
2119	171.64.122.141	p2119_ww_domain_mutant_1_am99	604	77	114	408	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2119	densign	0
2120	171.64.122.141	p2120_ww_domain_mutant_2_am99	580	77	114	408	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2120	densign	0
2121	171.64.122.141	p2121_ww_domain_mutant_3_am99	572	77	114	408	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2121	densign	0
2122	171.64.122.141	p2122_ww_domain_mutant_4_am99	572	77	114	408	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2122	densign	0
2123	171.64.122.141	p2123_ww_domain_mutant_5_am99	591	77	114	408	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2123	densign	0
2142	171.64.122.141	p2142	1000	45	65	476	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2142	densign	0
2143	171.64.122.141	p2143	1000	45	65	478	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2143	densign	0
2144	171.64.122.141	p2144	1000	44	65	464	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2144	densign	0
2145	171.64.122.141	p2145	1000	45	66	472	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2145	densign	0
2146	171.65.103.160	p2146	1000	44	65	230	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2146	densign	0
2147	171.65.103.160	p2147_lambda_m2_expl_99p	16427	42	61	218	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2147	densign	0
2148	171.65.103.160	p2148_supervillin_99p	9117	43	63	225	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2148	densign	0
2149	171.65.103.160	p2149_villinN68H_99p	8867	42	62	220	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2149	densign	0
2150	171.65.103.160	p2150	1000	44	65	230	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2150	densign	0
2151	171.65.103.160	p2151_p2147_lambda_m2_expl_99p_373K	16427	42	61	218	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2151	densign	0
2152	171.65.103.160	p2152_p2148_supervillin_99p_373K	9117	43	63	225	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2152	densign	0
2153	171.65.103.160	p2153_p2149_villinN68H_99p_373K	8867	42	62	220	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2153	densign	0
2162	171.64.122.141	p2162_haldrT113Y_pme	86993	46	68	484	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2162	densign	0
2163	171.64.122.141	p2163_haldrT113Y_rf	86993	47	70	498	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2163	densign	0
2164	171.64.122.141	p2164	1000	47	69	494	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2164	densign	0
2165	171.64.122.141	p2165	1000	47	69	492	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2165	densign	0
2166	171.64.122.141	p2166	1000	46	68	484	100	GROMACS	http://fah-web.stanford.edu/cgi-bin/fahproject?p=2166	densign	0
